date,Java,C,C++,Python,HTML,JavaScript,CSS,Shell,Clojure,Elixir
2016 Aug 15,80,0,0,0,0,20,0,0,0,0
2016 Sep 15,80,0,0,0,0,20,0,0,0,0
2016 Oct 15,80,0,0,0,0,20,0,0,0,0
2016 Nov 15,80,0,0,0,0,20,0,0,0,0
2016 Dec 15,80,0,0,0,0,20,0,0,0,0
2017 Jan 15,80,0,0,5,5,5,5,0,0,0
2017 Feb 15,90,0,0,0,5,0,5,0,0,0
2017 Mar 15,100,0,0,0,0,0,0,0,0,0
2017 Apr 15,100,0,0,0,0,0,0,0,0,0
2017 May 15,0,0,0,0,5,95,0,0,0,0
2017 Jun 15,0,0,0,0,5,95,0,0,0,0
2017 Jul 15,0,0,0,10,5,80,5,0,0,0
2017 Aug 15,10,0,0,10,10,50,10,10,0,0
2017 Sep 15,50,0,0,0,0,0,0,50,0,0
2017 Oct 15,60,30,0,0,0,0,0,10,0,0
2017 Nov 15,20,20,0,0,5,5,0,10,40,0
2017 Dec 15,10,20,0,0,0,0,0,0,0,70,0
2018 Jan 15,0,0,20,0,5,20,10,5,5,35
2018 Feb 15,0,0,30,0,5,0,5,5,5,50
2018 Mar 15,0,0,50,0,5,0,5,0,5,35
